Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Further advances,Per cent,5.6,5.15,4.46,4.31,5.48,5.28,5.32,5.52,7.42,6.73,5.65,5.01,5.63,5.1,4.57,4.16,4.33,3.91,3.55,3.56,3.67,3.43,3.15,2.83,3.54,2.95,2.66,2.51,2.85,2.42,2.18,2.37,2.614,2.509,2.35,2.213,2.574,3.181,2.783,2.938,2.904,2.727,2.503,2.524,2.816,2.754,2.518,2.401,3.253,3.424,3.243,3.085,3.353,2.853,3.325,3.315,3.11,2.82,3.334,3.436,3.394,3.214,2.945,2.362,1.955,2.274,1.813,1.699,2.172,2.188,2.074,1.981,1.903,2.799,2.301,2.209
,,Remortgage,Per cent,41.16,38.42,37.88,39.46,49.29,48.02,54.65,53.52,52.1,39.2,33.94,29.72,33.24,30.35,28.53,31.36,38.3,33.6,32.77,32.2,33.49,30.82,27.13,27.79,29.55,28.19,26.5,26.43,27.33,24.05,23.03,23.62,26.591,25.433,23.508,24.607,24.492,29.227,27.572,27.15,31.308,27.494,28.1,29.359,32.64,30.646,30.298,31.05,33.312,29.53,28.011,29.188,32.139,37.827,24.978,18.45,18.009,16.547,22.929,28.121,28.956,27.027,24.925,27.334,34.708,32.225,29.769,28.365,31.823,28.586,22.797,23.543,21.302,28.992,28.556,25.42
,,Other,Per cent,2.43,2.09,2.44,2.64,2.46,2.35,2.47,2.77,3.63,3.41,3.06,3.28,3.52,3.38,3.26,3.85,3.48,3.36,3.19,2.98,3.46,3.3,3.42,3.27,3.91,4.13,3.46,3,3.65,3.6,3.16,3.14,4.282,3.78,3.372,3.476,3.171,3.847,3.067,3.386,3.993,3.121,2.931,3.052,3.295,3.431,3.18,3.05,3.367,3.386,3.214,3.243,3.713,3.405,3.375,3.176,3.053,2.808,2.963,3.617,3.559,3.714,3.504,3.074,3.126,2.975,2.656,3.163,3.034,2.662,2.731,2.551,2.408,2.929,2.36,2.344
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(ii) As per cent of new commitments (£ amounts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,House purchase,Per cent,48.96,52.37,49.84,43.54,35.25,35.07,31.76,31.92,44.08,55,61.86,63.17,58.79,63.12,61.23,55.32,51.57,61.37,59.72,57.79,58.17,64.57,65.49,63.52,62.54,66.12,64.9,66.35,65.22,70.37,68.29,64.4,62.667,66.701,65.001,63.375,61.071,63.905,60.578,59.391,57.548,61.261,58.982,54.395,55.611,58.536,56.573,54.884,54.899,61.127,59.988,55.801,56.544,44.528,70.174,71.8,69.534,71.906,64.713,58.79,58.263,62.355,58.604,53.503,57.217,61.047,60.968,60.842,61.686,70.263,69.788,66.141,65.895,63.817,65.467,62.771
,,Remortgage,Per cent,41.81,38.12,41.27,46.16,53.98,56.44,57.9,57.11,41.56,34.93,30.49,26.95,32.15,28.52,30.74,35.95,40.71,31.34,32.36,34.49,33.99,28.86,29.17,30.8,31,28.06,29.97,28.71,29.3,24.73,27.02,30.69,31.301,28.931,30.171,31.88,33.331,30.5,34.23,34.92,36.163,33.164,36.465,40.281,38.447,36.726,38.365,39.903,38.935,33.365,34.97,38.665,37.634,48.824,24.982,23.591,25.182,23.155,30.453,35.35,35.77,31.901,35.864,41.214,37.295,34.649,34.629,34.593,34.331,25.571,25.682,29.519,29.982,32.277,30.329,31.928
,,Other (inc further advances),Per cent,9.23,9.52,8.89,10.3,10.77,8.49,10.33,10.97,14.35,10.06,7.65,9.88,9.07,8.36,8.04,8.73,7.72,7.29,7.91,7.72,7.84,6.58,5.35,5.68,6.46,5.82,5.13,4.94,5.48,4.9,4.69,4.91,6.032,4.369,4.829,4.745,5.598,5.595,5.193,5.689,6.289,5.575,4.553,5.323,5.942,4.738,5.062,5.213,6.166,5.509,5.042,5.534,5.822,6.648,4.844,4.61,5.284,4.939,4.835,5.86,5.967,5.744,5.532,5.283,5.488,4.303,4.403,4.566,3.983,4.166,4.529,4.34,4.122,3.906,4.204,5.301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes to table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Note that buy to let (BTL) includes house purchase, further advance, and remortgage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Some data for regulated BTL has been reclassified as non-regulated BTL for one institution. This has caused revisions to a number of series since 2015 Q1. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explanatory notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Bank of England and FCA. For requests on copyright please email dsd_editor@bankofengland.co.uk (020 3461 5432) and MLARStatistics@fca.org.uk (020 7066 1000).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
